package,binary_value,available_versions,TabHost_use_in_latest_version,support_this_feature
com.subsplash.thechurchapp.xxxchurch,0,2,,False
com.superandroix,0,3,,False
com.swissquote.android,0,2,,False
com.syncme.syncmeapp,0,4,,False
com.szyk.myheart,0,3,,False
com.teebik.mobilesecurity,0,3,,False
com.tencent.mm,0,6,,False
com.teslacoilsw.launcher,0,3,,False
com.tf.thinkdroid.amlite,0,2,,False
com.tg.photoswapperfree,0,2,,False
com.tharindu.callerinfoplus,0,2,,False
com.thenorthface.tracking,0,2,,False
com.thunderbull_entertainment.footballpenaltyshootout,0,2,,False
com.timeplusq.drawnguess,0,3,,False
com.tinysoftwarefactory.elme,0,2,,False
com.totalbeauty,0,2,,False
com.trello,0,3,,False
com.tripit,0,4,,False
com.truecaller,0,5,,False
com.turner.trutv,0,2,,False
com.turningpoint.official,0,3,,False
com.uniformdating,0,3,,False
com.vapeldoorn.arrows,0,2,,False
com.viaden.winner,0,2,,False
com.virtualization.freev,0,2,,False
com.vivox.bobsled,0,2,,False
com.voxofon,0,2,,False
com.vuze.torrent.downloader,0,2,,False
com.weedscale,0,4,,False
com.wetpalm.ProfileScheduler,0,2,,False
com.whalemobile.CarLoandCalculator,0,2,,False
com.whitepages.search,0,3,,False
com.winit.starnews.hin,0,3,,False
com.worldbank.finances,0,2,,False
com.xcr.android.abctickets,0,2,,False
com.xcr.android.empiretickets,0,2,,False
com.xcr.android.ticketking,0,2,,False
com.xiaomistudio.tools.optimization,0,3,,False
com.yahoo.mobile.client.android.yahoo,0,2,,False
com.yardi.hudhomestore,0,2,,False
com.ydea.codibook,0,2,,False
com.yinzcam.nfl.eagles,0,2,,False
com.youku.phone,0,5,,False
com.ziprealty.mobile.android,0,3,,False
com.zrgiu.antivirus,0,4,,False
cz.cfc.androidgp.AnimalTrainLite,0,2,,False
cz.csob.smartbanking.era,0,3,,False
de.dbmobilesoft.fuellogger,0,2,,False
de.gebdev.aWARemoteFree,0,2,,False
de.tracking.trackbysms,0,3,,False
de.tvspielfilm,0,3,,False
dk.tacit.android.foldersync.lite,0,3,,False
dms.pastor.diagnostictools,0,2,,False
drug.vokrug,0,3,,False
edu.berkeley.boinc,0,3,,False
fr.aetys.kid.animals.fr,0,2,,False
fr.submate.freeapps365.activities,0,2,,False
gbis.gbandroid,0,3,,False
hdn.android.countdown,0,7,,False
heroclix.Rules,0,2,,False
hk.gov.police.mobile,0,2,,False
hk.hklii.mobile.android,0,2,,False
hs4m.com.main,0,2,,False
ht.cameraapps.LayoutActivity,0,2,,False
hu.tagsoft.ttorrent.lite,0,3,,False
jp.co.so_da.android.photoandme,0,3,,False
jp.naver.lineplay.android,0,6,,False
jp.willent.Daifugo3min,0,3,,False
mobi.conduction.swipepad.android,0,3,,False
mobi.mgeek.TunnyBrowser,0,6,,False
moodpulse.com,0,2,,False
net.androidsea.seoultaxi,0,2,,False
net.dbja.planv,0,2,,False
net.giosis.shopping.sg,0,3,,False
net.omphalos,0,3,,False
net.one97.paytm,0,3,,False
net.thirteencards.openface,0,2,,False
net.topfuncoolgames.sushifriends.season,0,2,,False
net.zedge.android,0,6,,False
no.darkspawns.leafmanager,0,2,,False
org.altruist.BajajExperia,0,2,,False
org.asiae.google,0,2,,False
org.ehub1100.eh.ui,0,2,,False
org.evangelizo,0,2,,False
org.liberty.android.fantastischmemo,0,3,,False
org.lwnm.digitallib,0,3,,False
org.medhelp.iamexpecting,0,4,,False
org.medhelp.mc,0,2,,False
org.medhelp.mydiet,0,4,,False
org.na.naapp,0,2,,False
org.shiva.apps.expense.tracker,0,2,,False
org.videomap.droidmoteclient,0,3,,False
org.zwanoo.android.speedtest,0,2,,False
pl.netox.cans,0,2,,False
pl.netox.jetspace,0,2,,False
pl.netox.scamps,0,2,,False
ptSoft.util.sqlite3forroot,0,3,,False
ru.funapp.slots.chukchi,0,2,,False
ru.helix,0,2,,False
ru.ilya.muromets.autofines,0,3,,False
ru.yandex.disk,0,2,,False
ru.yandex.money,0,4,,False
se.codeunlimited.popcorn.remote,0,2,,False
se.scania.fms,0,2,,False
se.sj.android,0,2,,False
se.theinstitution.revival,0,2,,False
si.pilcom.apps.anydetector,0,2,,False
sk.michalec.DigiClockLiveWallpaper,0,3,,False
supersoft.prophet.astrology.english,0,3,,False
supersoft.prophet.astrology.hindi,0,3,,False
supersoft.prophet.astrology.kannada,0,3,,False
supersoft.prophet.astrology.tamil,0,3,,False
supersoft.prophet.astrology.telugu,0,3,,False
triangleSoftware.traffic.android,0,3,,False
usa.jersey.tvlistings,0,3,,False
venice.amphitrite,0,2,,False
